iso,countryname,region,incomegroup,avg13_literacy1524,avg13_pri_compt,avg13_pri_attain,avg13_pri_enroll,avg13_pri_teacher,avg13_sec_low_attain,avg13_sec_up_attain,avg13_sec_post_attain,avg13_sec_enroll,avg13_sec_teacher,avg13_bac_attain,avg13_mas_attain,avg13_doc_attain,avg13_ter_enroll,avg13_gov_edu
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,98.342697,99.028656,51.922409,112.42426,96.020241,29.35166,20.03713,11.86962,93.24102,86.883049,6.9261599,1.43967,.042610001,22.333794,4.9924502
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,99.322922,99.05555,81.6735,110.81261,93.954948,53.86581,39.105049,,119.34967,95.913918,22.045425,2.5246549,,52.225491,6.9898067
CUB,Cuba,Latin America & Caribbean,Upper middle income,99.890297,96.031883,,97.738731,100,,,,97.78656,100,,,,42.226604,
CUW,Curacao,Latin America & Caribbean,High income,,,,175.24419,,,,,88.345543,,,,,20.312639,4.9309502
CYM,Cayman Islands,Latin America & Caribbean,High income,,,99.402969,,88.118813,95.022247,89.151062,54.820488,,,31.010689,9.2991304,.81418002,,
CYP,Cyprus,Europe & Central Asia,High income,99.858887,98.3255,94.053802,99.404938,,79.098503,69.480919,36.62611,99.168915,,25.466671,9.9174051,.62573999,53.576942,6.2890348
CZE,Czech Republic,Europe & Central Asia,High income,,98.24173,99.851051,99.18486,,99.807602,89.521217,19.957041,105.02245,,19.084267,14.893625,.55245996,65.453804,4.0890198
DEU,Germany,Europe & Central Asia,High income,,101.19038,100,103.78098,,96.729019,82.796272,33.38974,102.52432,,24.4625,10.890915,1.275185,64.931938,4.9403048
DJI,Djibouti,Middle East & North Africa,Lower middle income,,57.611168,,67.165291,98.002159,,,,46.159931,100,,,,,
DMA,Dominica,Latin America & Caribbean,Upper middle income,,106.80726,,117.41167,64.843445,,,,100.48789,44.256863,,,,,
DNK,Denmark,Europe & Central Asia,High income,,99.045631,,101.47243,,94.379379,77.044403,34.87973,130.15729,,29.681,10.519555,.32440001,81.846825,8.6271095
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,97.686523,91.926842,66.178284,102.35738,,56.066914,34.175434,,77.924446,,,,,48.816074,
DZA,Algeria,Middle East & North Africa,Upper middle income,96.752602,106.88853,,118.21853,100,,,,,,,,,35.160618,
ECU,Ecuador,Latin America & Caribbean,Upper middle income,98.714897,113.34707,80.958099,114.06597,78.081856,49.633492,39.81044,13.220453,104.52373,72.390556,12.07459,.77272999,,40.480862,5.0715766
EGY,"Egypt",Middle East & North Africa,Lower middle income,92.658142,103.82353,,104.73273,72.430359,,,,85.913689,63.29528,,,,32.741619,
ERI,Eritrea,Sub-Saharan Africa,Low income,92.911102,37.961445,,52.972412,70.563942,,,,33.607849,83.211571,,,,2.5653801,
ESP,Spain,Europe & Central Asia,High income,99.715317,98.897934,90.306412,105.09302,,74.264648,47.550148,,130.35373,,,,,88.602676,4.2905898
EST,Estonia,Europe & Central Asia,High income,99.96553,103.56658,,99.457359,,,89.260071,,111.38921,,,,,71.284019,5.1654053
ETH,Ethiopia,Sub-Saharan Africa,Low income,69.49176,54.027565,,101.12248,,,,,35.173248,,,,,8.1260405,4.5005102
FIN,Finland,Europe & Central Asia,High income,,99.61702,,101.26277,,,73.19043,34.588417,146.05278,,22.198231,10.92581,1.0457001,89.00901,7.1692448
FJI,Fiji,East Asia & Pacific,Upper middle income,,104.65295,,105.54581,,,,,,,,,,,3.88289
FRA,France,Europe & Central Asia,High income,,,97.654366,105.50084,,82.445862,68.100937,28.842844,110.79233,,17.028011,8.5594149,.73851502,63.268669,5.49299
FRO,Faroe Islands,Europe & Central Asia,High income,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,,,,96.576904,,,,,,,,,,,12.46775
GAB,Gabon,Sub-Saharan Africa,Upper middle income,89.122711,,,,,,,,,,,,,,2.8480301
GBR,United Kingdom,Europe & Central Asia,High income,,,99.846069,108.49055,,99.846069,74.354332,,126.11863,,28.860455,8.6815548,.90033501,56.673447,5.6849833
GEO,Georgia,Europe & Central Asia,Lower middle income,99.792305,116.70154,98.990021,116.84894,,96.931374,91.769569,46.00238,100.2685,,,16.24176,.62090999,39.116776,
GHA,Ghana,Sub-Saharan Africa,Lower middle income,90.601433,98.693336,,108.28844,53.465565,,,,60.14566,72.921753,,,,15.47646,6.1383696
GIB,Gibraltar,Europe & Central Asia,High income,,,,,,,,,,,,,,,
GIN,Guinea,Sub-Saharan Africa,Low income,45.246399,61.176804,,90.67173,74.561172,,,,38.823269,,,,,10.6141,3.3765001
GMB,"Gambia, The",Sub-Saharan Africa,Low income,72.587082,69.570564,,88.41169,86.128059,,,,,,,,,,2.76771
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,76.649727,,,,,,,,,,,,,,2.17313
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,98.238876,50.42543,,79.120323,37.229542,,,,,,,,,,
GRC,Greece,Europe & Central Asia,High income,99.547852,96.509155,94.974854,98.110428,,68.345551,57.10001,30.124489,107.34859,,22.557564,2.2770901,.51353502,112.01723,
GRD,Grenada,Latin America & Caribbean,Upper middle income,,91.97316,,103.55534,60.091953,,,,100.3896,40.799046,,,,91.147743,
GRL,Greenland,Europe & Central Asia,High income,,,100,,,100,39.275513,13.69294,,,10.47929,2.9858251,.092725001,,
GTM,Guatemala,Latin America & Caribbean,Lower middle income,93.156303,85.94529,53.182053,104.31059,,31.125843,22.97694,6.8314447,64.437996,,4.6319652,.27386001,.026449999,20.086325,2.9135334
GUM,Guam,East Asia & Pacific,High income,99.98333,,,,,,,,,,,,,,
GUY,Guyana,Latin America & Caribbean,Upper middle income,94.3713,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,,,95.202545,,96.197784,77.934708,61.689335,27.433765,100.83644,95.902626,,,,68.176704,3.5289133
HND,Honduras,Latin America & Caribbean,Lower middle income,95.975807,92.556946,58.525131,110.21947,,32.440189,23.014441,,69.93959,,6.2694998,,,21.482689,5.8677502
HRV,Croatia,Europe & Central Asia,Upper middle income,99.74234,96.503883,,98.38044,,,,,99.102165,,,,,68.517227,4.5816002
HTI,Haiti,Latin America & Caribbean,Low income,82.055702,,,,,,,,,,,,,,
HUN,Hungary,Europe & Central Asia,High income,99.10675,97.381653,99.571182,101.06704,,97.266991,75.902985,28.658253,106.79566,,20.000277,8.3089933,.63854665,53.690578,4.4418149
IDN,Indonesia,East Asia & Pacific,Lower middle income,99.697083,101.82612,77.115387,105.97891,,48.047997,31.677429,,83.600159,,8.2247553,.54045999,.032129999,28.880867,3.4093666
IMN,Isle of Man,Europe & Central Asia,High income,,,,,,,,,,,,,,,
IND,India,South Asia,Lower middle income,89.664063,96.87738,,109.03557,77.245064,,,,72.380615,,,,,25.433479,3.84236
IRL,Ireland,Europe & Central Asia,High income,,,,102.13552,,,,,127.34261,,,,,78.191071,5.3245702
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,97.90226,101.77301,,112.1654,100,68.10553,46.632339,21.522085,88.065216,100,16.593376,3.4242249,.29265499,65.228256,3.0111632
IRQ,Iraq,Middle East & North Africa,Upper middle income,81.642838,,79.393761,,,44.131908,29.72406,19.92075,,,,,,,
ISL,Iceland,Europe & Central Asia,High income,,,,99.13195,,,,,118.55641,,,,,81.260368,7.80585
ISR,Israel,Middle East & North Africa,High income,,104.24274,95.511971,104.48439,,88.813454,81.110039,,101.95808,,32.463577,12.47279,1.42954,65.734787,5.7960901
ITA,Italy,Europe & Central Asia,High income,99.909721,100.18773,95.136642,101.49071,,78.041328,48.89653,14.707251,102.64179,,,,,63.015663,4.1282701
JAM,Jamaica,Latin America & Caribbean,Upper middle income,96.361694,,,,86.264435,,,,82.807014,84.517899,,,,27.332516,5.9191332
JOR,Jordan,Middle East & North Africa,Lower middle income,99.23484,88.962364,,93.608101,100,,,,82.53801,100,,,,44.869518,
JPN,Japan,East Asia & Pacific,High income,,,,101.39995,,,,,101.83279,,,,,62.887108,3.6284499
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,99.841248,111.62484,,110.85699,100,,,,105.48653,100,,,,48.215263,2.7874999
KEN,Kenya,Sub-Saharan Africa,Lower middle income,85.895302,104.34814,,110.18489,,,,,,,,,,,5.3205967
KGZ,Kyrgyzstan,Europe & Central Asia,Lower middle income,99.74733,105.77064,,107.03476,,,,,90.388412,,,,,46.717724,6.1566048
KHM,Cambodia,East Asia & Pacific,Lower middle income,91.535019,95.107796,,118.68504,100,,,,,,,,,13.08826,1.9618649
KIR,Kiribati,East Asia & Pacific,Lower middle income,,112.36118,,108.78777,,,,,,,,,,,
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,,85.671127,,83.626999,68.275902,,,,94.371193,48.202251,,,,79.334671,2.78424
KOR,"Korea, Rep.",East Asia & Pacific,High income,,100.41957,,99.003288,,,,,98.355202,,,,,94.244926,5.0521102
KWT,Kuwait,Middle East & North Africa,High income,99.32283,103.04641,59.953392,103.4366,78.526146,53.351273,29.11899,14.39696,93.708031,,9.1514397,.40833998,.3924,27.02705,
LAO,Lao PDR,East Asia & Pacific,Lower middle income,90.23172,99.765205,,115.51581,98.229309,,,,56.890388,99.521225,,,,17.44615,3.3847699
LBN,Lebanon,Middle East & North Africa,Upper middle income,99.096352,73.511276,,94.559937,94.013931,,,,63.691036,97.242508,,,,42.401192,2.5711901
LBR,Liberia,Sub-Saharan Africa,Low income,54.471451,58.833061,,94.781898,51.682838,,,,37.586639,58.179195,,,,,
LBY,Libya,Middle East & North Africa,Upper middle income,99.945114,,,,,,,,,,,,,,
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,,,,,83.710693,45.893131,40.430119,15.45031,86.661674,65.860535,,,,15.82604,4.8563433
LIE,Liechtenstein,Europe & Central Asia,High income,,98.997597,,104.16321,,,,,115.84064,,,,,35.515373,
LKA,Sri Lanka,South Asia,Lower middle income,98.769371,98.431465,,101.19858,75.774521,,,,99.72451,,,,,19.340504,1.9087367
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,85.089821,75.51786,,106.86308,75.658974,,,,52.557178,100,,,,9.9952545,
LTU,Lithuania,Europe & Central Asia,High income,99.909172,100.17249,98.723526,102.29214,,93.046143,83.317757,50.869362,106.8311,,30.325907,13.601635,.50673336,70.250557,4.6125002
LUX,Luxembourg,Europe & Central Asia,High income,,80.650826,,96.836845,,100,78.931923,69.071663,102.33902,,,,,,4.0838799
LVA,Latvia,Europe & Central Asia,High income,99.828293,106.23808,100,100.93482,,99.454544,87.848259,37.64333,115.11121,,27.379566,11.152665,.4962,66.997299,6.1372652
MAC,"Macao SAR, China",East Asia & Pacific,High income,99.655952,90.518829,,96.924568,90.842178,,,,96.16362,82.018013,,,,69.183052,2.0384901
MAF,St. Martin (French part),Latin America & Caribbean,High income,,,,,,,,,,,,,,,
MAR,Morocco,Middle East & North Africa,Lower middle income,95.066422,101.45911,,115.85148,100,,,,,,,,,25.24506,
MCO,Monaco,Europe & Central Asia,High income,,,,,,,,,,,,,,,1.178175
MDA,Moldova,Europe & Central Asia,Lower middle income,99.651894,91.972481,99.266273,93.081772,96.909531,96.014137,74.51828,33.080509,87.254982,,19.49835,.74764663,.11013667,41.326775,7.4678402
MDG,Madagascar,Sub-Saharan Africa,Low income,65.069267,68.859528,,146.96208,16.883278,,,,38.434929,20.683359,,,,4.510675,2.0820401
MDV,Maldives,South Asia,Upper middle income,99.761032,,,,88.088654,,,,,,,,,16.227381,4.6167231
MEX,Mexico,Latin America & Caribbean,Upper middle income,98.767502,103.76514,78.706482,103.85706,,57.86137,32.258625,,88.793533,,14.35313,1.5383033,.13127667,29.574741,5.0306048
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,98.458778,,,93.399857,,,,,76.611877,,,,,,
MKD,"Macedonia, FYR",Europe & Central Asia,Upper middle income,98.619965,88.551674,,91.106903,,,,,79.196556,,,,,40.336102,
MLI,Mali,Sub-Saharan Africa,Low income,49.366508,52.647705,22.05014,76.369911,,11.5291,6.0352201,,42.036072,,1.65073,,,,3.5665998
MLT,Malta,Middle East & North Africa,High income,99.186028,98.988281,98.58609,101.80981,,76.699089,35.721008,23.738384,94.300591,,13.27676,4.2909465,.26434666,45.440666,7.849
MMR,Myanmar,East Asia & Pacific,Lower middle income,96.285461,85.072899,,99.658287,99.547989,,,,51.296089,93.825363,,,,,
MNE,Montenegro,Europe & Central Asia,Upper middle income,99.150688,92.578171,,94.306717,,,,,90.342232,,,,,,
MNG,Mongolia,East Asia & Pacific,Lower middle income,98.509773,98.276947,,103.83457,100,,,,91.462334,100,,,,65.029938,
MNP,Northern Mariana Islands,East Asia & Pacific,High income,,,,,,,,,,,,,,,
MOZ,Mozambique,Sub-Saharan Africa,Low income,76.752762,47.828823,,105.19664,90.175537,,,,32.397167,86.85498,,,,5.9191866,6.4832201
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,62.638451,68.703064,,98.897713,91.217278,,,,29.966887,93.167358,,,,5.5434446,2.93012
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,98.720238,98.727341,,102.65191,100,,,,95.992172,36.206612,,,,38.355793,4.4742565
MWI,Malawi,Sub-Saharan Africa,Low income,75.077972,79.238403,,145.95129,90.80983,,,,40.162628,65.617981,,,,,5.2909832
MYS,Malaysia,East Asia & Pacific,Upper middle income,98.417709,101.97042,,102.65287,98.431808,,,,75.021477,98.949532,,,,30.026342,5.2120166
NAM,Namibia,Sub-Saharan Africa,Upper middle income,94.882294,86.498833,,111.42811,,,,,,,,,,,
NCL,New Caledonia,East Asia & Pacific,High income,99.682091,,,,,,,,,,,,,,
NER,Niger,Sub-Saharan Africa,Low income,26.55859,58.692444,,71.108521,50.483429,,,,18.792221,18.413473,,,,,5.8128052
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,72.790352,,,93.674889,,,,,55.70422,,,,,,
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,91.574799,,,,,,,,,,,,,,
NLD,Netherlands,Europe & Central Asia,High income,,,98.450279,105.09843,,89.421654,69.507446,30.686047,133.30394,,28.033257,10.452957,.56084335,,5.5595498
NOR,Norway,Europe & Central Asia,High income,,99.276428,99.659683,100.29908,,99.219162,77.245888,37.780045,112.86629,,26.188389,9.9019756,.91560501,76.532486,7.3732901
NPL,Nepal,South Asia,Low income,89.948441,103.9286,,136.39462,93.396614,,,,66.66037,80.613029,,,,15.900193,3.72069
NRU,Nauru,East Asia & Pacific,Upper middle income,,112.4424,,104.99002,,,,,82.636658,,,,,,
NZL,New Zealand,East Asia & Pacific,High income,,,,98.837364,,,69.516434,44.997715,117.1017,,26.07766,4.34513,.817985,81.509514,6.4638467
OMN,Oman,Middle East & North Africa,High income,99.106506,104.26766,83.88591,110.38634,,66.41922,50.369492,21.28899,101.0578,,12.45843,1.8164901,.30122,,4.9603801
PAK,Pakistan,South Asia,Lower middle income,72.675491,72.919411,49.172836,92.029198,83.792931,36.379303,26.894249,,41.997162,,8.3723297,1.806875,.50312001,10.217667,2.5367765
PAN,Panama,Latin America & Caribbean,Upper middle income,98.127319,100.82091,,103.77467,83.189034,,,,75.528557,95.707314,,,,38.739349,
PER,Peru,Latin America & Caribbean,Upper middle income,98.955315,96.833572,80.16674,102.07533,96.741272,61.923824,55.774059,21.111673,96.421341,83.028854,,1.759405,,,3.6543434
PHL,Philippines,East Asia & Pacific,Lower middle income,98.166092,100.97011,84.156982,116.81887,100,70.058502,58.456741,32.850842,88.388924,100,16.99506,.46270999,,34.683182,
PLW,Palau,East Asia & Pacific,High income,99.811485,101.9392,98.597054,114.34009,,97.12307,88.048302,,114.53368,,,,,61.8638,
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,66.678993,,,,,,,,,,,,,,
POL,Poland,Europe & Central Asia,High income,99.999969,98.022278,98.844849,100.94104,,83.49749,83.167206,26.560055,108.40366,,23.165855,18.33111,.55045998,69.636154,4.9213099
PRI,Puerto Rico,Latin America & Caribbean,High income,99.061707,,,89.640701,94,,,,81.046204,93.999741,,,,84.85981,6.39077
PRK,"Korea, Dem. People’s Rep.",East Asia & Pacific,Low income,99.999832,,,76.833778,,,,,93.396088,,,,,28.059441,
PRT,Portugal,Europe & Central Asia,High income,99.590584,,89.922707,108.60075,,51.145096,33.835194,17.67729,118.42344,,17.833759,13.729065,.469515,64.567734,5.2059097
PRY,Paraguay,Latin America & Caribbean,Upper middle income,98.858521,,74.161026,,,47.389618,37.332546,,,,12.127545,6.5424399,.089585006,,
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,99.362076,95.334953,92.842453,94.47493,100,59.064171,38.49519,23.489811,82.591766,100,16.659994,1.6071633,.24978,44.543442,1.3954151
PYF,French Polynesia,East Asia & Pacific,High income,,,,,,,,,,,,,,,
QAT,Qatar,Middle East & North Africa,High income,98.760117,93.52623,83.934967,100.14078,,68.931793,45.015121,24.797039,87.487045,,20.409969,,,13.333734,3.8407397
ROM,Romania,Europe & Central Asia,Upper middle income,99.303612,92.451859,98.623314,89.783058,,89.324501,64.701248,17.454424,94.971703,,6.50704,4.6349802,.040534999,52.868073,3.12918
RUS,Russian Federation,Europe & Central Asia,Upper middle income,99.703529,100.68724,,99.775002,,,,,101.29823,,,,,79.014648,
RWA,Rwanda,Sub-Saharan Africa,Low income,85.031219,62.629402,,134.62527,94.901031,,,,38.654175,70.348129,,,,7.6646166,4.4098701
SAU,Saudi Arabia,Middle East & North Africa,High income,99.286407,106.74162,81.324669,108.52436,100,66.508858,48.890579,25.888041,107.98538,100,1.60215,.55492002,,59.6866,
SDN,Sudan,Sub-Saharan Africa,Lower middle income,70.869659,56.80925,,70.401749,,,,,42.69846,,,,,16.622639,
SEN,Senegal,Sub-Saharan Africa,Low income,62.828636,58.311661,27.34778,81.510887,70.229042,13.88542,8.2346096,,49.646759,51.827225,3.1166101,1.9358,.42363,10.241493,7.33249
SGP,Singapore,East Asia & Pacific,High income,99.899734,,85.651123,,,78.696785,69.748016,51.065151,,,27.763796,,,,2.9157901
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,,87.374855,,114.20998,62.383297,,,,,76.475929,,,,,
SLE,Sierra Leone,Sub-Saharan Africa,Low income,66.547638,67.74263,,128.82245,43.22073,,,,43.337273,51.371536,,,,,2.5217149
SLV,El Salvador,Latin America & Caribbean,Lower middle income,97.460846,103.96439,56.406979,112.21032,95.613319,41.037971,26.98736,,80.613159,92.041809,6.0594501,.26379001,.038800001,29.050846,3.4755666
SMR,San Marino,Europe & Central Asia,High income,,,,,,,,,,,,,,,
SOM,Somalia,Sub-Saharan Africa,Low income,,,,,,,,,,,,,,,
SRB,Serbia,Europe & Central Asia,Upper middle income,98.498962,100.60735,92.929871,101.12321,,87.051933,68.677185,21.043375,95.141075,,12.5639,1.3758934,.35257667,57.574512,4.1786098
SSD,South Sudan,Sub-Saharan Africa,Low income,44.35482,,,64.139938,,,,,9.51756,,,,,,1.4774933
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,97.322647,94.919067,,113.30706,33.684113,,,,75.916817,42.284626,,,,11.57965,4.8477049
SUR,Suriname,Latin America & Caribbean,Upper middle income,99.027344,92.658592,,120.61602,6.2414498,,,,79.17421,20.781223,,,,,
SVK,Slovak Republic,Europe & Central Asia,High income,,97.013321,99.786369,100.82353,,99.299011,85.988106,20.060776,92.068581,,18.490274,15.942474,.40314001,53.676048,4.1626101
SVN,Slovenia,Europe & Central Asia,High income,99.860901,98.706146,99.956795,99.143356,,97.637016,80.458,,110.80936,,18.52042,13.858524,1.69563,84.074142,5.4865899
SWE,Sweden,Europe & Central Asia,High income,,102.42972,100,121.46089,,89.473846,74.473618,36.572468,133.94427,,22.524673,10.627693,1.1827934,62.682396,7.6963196
SWZ,Swaziland,Sub-Saharan Africa,Lower middle income,94.770309,79.007851,,113.0163,80.397598,,,,64.510605,76.313538,,,,5.3288798,7.0499902
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,,,,,,,,,,,,,,,
SYC,Seychelles,Sub-Saharan Africa,High income,99.050232,108.66844,,104.14034,74.792824,,,,79.715576,89.982918,,,,7.9425268,
SYR,Syrian Arab Republic,Middle East & North Africa,Lower middle income,96.285187,68.921089,,80.100883,,,,,50.48922,,,,,40.807766,
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,,,,,89.12281,,,,,97.619049,,,,,3.26528
TCD,Chad,Sub-Saharan Africa,Low income,52.243305,38.057091,,101.40407,64.980179,,,,,53.027309,,,,3.44539,2.84971
TGO,Togo,Sub-Saharan Africa,Low income,85.15564,82.822899,,125.20673,74.698059,,,,,,,,,10.47429,4.9202266
THA,Thailand,East Asia & Pacific,Upper middle income,98.477364,93.255547,61.474972,101.44067,100,41.416382,29.292271,16.896561,114.31332,100,13.12545,1.7901599,,50.913872,4.12887
TJK,Tajikistan,Europe & Central Asia,Lower middle income,99.874283,98.374191,,98.173798,98.026169,,,,87.894653,,,,,24.497881,5.2321501
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,99.835693,,,89.367203,,,,,85.341423,,,,,7.9844398,
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,82.242104,99.541824,,136.57495,,,,,73.538246,,,,,,6.9014649
TON,Tonga,East Asia & Pacific,Upper middle income,99.445671,110.93627,,108.91711,98.305527,,,,90.370972,61.245518,,,,,
